time,_id,close,high,low,open,volume
2023-01-03 00:45:00,1672706700,16696.5,16698.5,16696.5,16698.5,2470
2023-01-03 00:50:00,1672707000,16683.5,16696.5,16681.0,16696.5,4216
2023-01-03 00:55:00,1672707300,16689.0,16693.0,16683.5,16683.5,6991
2023-01-03 01:00:00,1672707600,16683.0,16689.0,16680.0,16689.0,4003
2023-01-03 01:05:00,1672707900,16673.0,16683.0,16671.0,16683.0,5331
2023-01-03 01:10:00,1672708200,16671.5,16673.0,16669.5,16669.5,3094
2023-01-03 01:15:00,1672708500,16659.0,16675.0,16658.5,16671.5,7897
2023-01-03 01:20:00,1672708800,16648.5,16658.5,16648.5,16658.0,7585
2023-01-03 01:25:00,1672709100,16654.0,16658.5,16648.5,16649.5,3917
2023-01-03 01:30:00,1672709400,16674.0,16674.0,16651.0,16653.0,4668
2023-01-03 01:35:00,1672709700,16654.5,16670.0,16653.0,16670.0,6447
2023-01-03 01:40:00,1672710000,16664.5,16664.5,16655.5,16656.0,3857
2023-01-03 01:45:00,1672710300,16661.5,16664.0,16658.0,16664.0,1902
2023-01-03 01:50:00,1672710600,16664.5,16664.5,16659.0,16661.5,2785
2023-01-03 01:55:00,1672710900,16670.0,16672.5,16661.0,16664.5,4253
2023-01-03 02:00:00,1672711200,16679.0,16679.0,16664.5,16667.5,4157
2023-01-03 02:05:00,1672711500,16673.0,16677.5,16672.5,16676.5,2221
2023-01-03 02:10:00,1672711800,16680.5,16680.5,16673.0,16674.5,1982
2023-01-03 02:15:00,1672712100,16675.0,16680.5,16674.0,16680.5,2116
2023-01-03 02:20:00,1672712400,16670.5,16680.5,16665.0,16675.0,42499
2023-01-03 02:25:00,1672712700,16671.0,16672.0,16669.0,16670.5,3082
2023-01-03 02:30:00,1672713000,16678.0,16678.0,16669.0,16671.0,2543
2023-01-03 02:35:00,1672713300,16675.5,16678.0,16673.0,16678.0,3057
2023-01-03 02:40:00,1672713600,16677.5,16678.0,16675.5,16675.5,2711
2023-01-03 02:45:00,1672713900,16667.0,16677.5,16666.0,16677.5,4520
2023-01-03 02:50:00,1672714200,16673.5,16674.5,16668.0,16668.0,3073
2023-01-03 02:55:00,1672714500,16667.0,16670.0,16667.0,16670.0,3135
2023-01-03 03:00:00,1672714800,16667.5,16667.5,16661.0,16667.0,4909
2023-01-03 03:05:00,1672715100,16672.5,16672.5,16666.5,16667.5,5536
2023-01-03 03:10:00,1672715400,16662.5,16673.5,16662.5,16672.5,2676
2023-01-03 03:15:00,1672715700,16667.5,16668.5,16662.5,16662.5,1822
2023-01-03 03:20:00,1672716000,16683.5,16683.5,16670.5,16670.5,4641
2023-01-03 03:25:00,1672716300,16681.5,16685.0,16678.0,16685.0,4870
2023-01-03 03:30:00,1672716600,16693.0,16693.0,16681.5,16681.5,6742
2023-01-03 03:35:00,1672716900,16689.5,16693.0,16688.5,16693.0,3084
2023-01-03 03:40:00,1672717200,16682.5,16687.5,16677.0,16687.5,5963
2023-01-03 03:45:00,1672717500,16686.5,16686.5,16683.5,16684.0,2159
2023-01-03 03:50:00,1672717800,16683.0,16686.5,16683.0,16686.5,2388
2023-01-03 03:55:00,1672718100,16686.0,16687.5,16682.5,16683.0,1844
2023-01-03 04:00:00,1672718400,16683.0,16688.0,16682.0,16682.0,2642
2023-01-03 04:05:00,1672718700,16684.5,16685.5,16682.0,16685.5,2014
2023-01-03 04:10:00,1672719000,16688.5,16688.5,16683.0,16684.5,3658
2023-01-03 04:15:00,1672719300,16686.0,16690.0,16685.5,16688.5,1603
2023-01-03 04:20:00,1672719600,16682.5,16686.5,16682.5,16686.0,1750
2023-01-03 04:25:00,1672719900,16686.5,16686.5,16681.0,16682.5,2303
2023-01-03 04:30:00,1672720200,16683.0,16686.0,16683.0,16685.0,2298
2023-01-03 04:35:00,1672720500,16683.0,16684.5,16680.0,16681.0,2898
2023-01-03 04:40:00,1672720800,16682.0,16682.5,16682.0,16682.5,2027
2023-01-03 04:45:00,1672721100,16680.0,16682.0,16677.0,16682.0,3224
2023-01-03 04:50:00,1672721400,16676.5,16682.5,16676.5,16680.0,2333
2023-01-03 04:55:00,1672721700,16677.0,16681.0,16673.5,16674.0,2593
2023-01-03 05:00:00,1672722000,16680.0,16683.0,16677.0,16678.5,10093
2023-01-03 05:05:00,1672722300,16679.0,16680.5,16678.0,16678.0,1885
2023-01-03 05:10:00,1672722600,16688.5,16688.5,16679.0,16679.0,11609
2023-01-03 05:15:00,1672722900,16694.0,16697.0,16690.0,16690.0,5611
2023-01-03 05:20:00,1672723200,16685.5,16697.0,16685.5,16692.5,3635
2023-01-03 05:25:00,1672723500,16686.0,16686.0,16684.5,16686.0,4206
2023-01-03 05:30:00,1672723800,16688.5,16688.5,16685.0,16686.5,2932
2023-01-03 05:35:00,1672724100,16697.0,16700.5,16688.5,16688.5,11877
2023-01-03 05:40:00,1672724400,16701.0,16703.0,16697.0,16697.0,2466
2023-01-03 05:45:00,1672724700,16706.0,16710.5,16703.0,16703.0,4710
2023-01-03 05:50:00,1672725000,16713.5,16714.5,16708.0,16708.0,30595
2023-01-03 05:55:00,1672725300,16721.0,16721.0,16713.0,16716.5,5833
2023-01-03 06:00:00,1672725600,16749.5,16751.5,16719.0,16719.0,30889
2023-01-03 06:05:00,1672725900,16737.0,16749.5,16733.5,16748.0,10768
2023-01-03 06:10:00,1672726200,16732.5,16739.5,16731.0,16738.5,19961
2023-01-03 06:15:00,1672726500,16733.0,16734.5,16731.5,16732.5,4831
2023-01-03 06:20:00,1672726800,16736.5,16738.5,16731.0,16731.5,6050
